id;question;ANALYSEUR;EMPATHIQUE;PERSÉVÉRANT;ENERGISEUR;PROMOTEUR;IMAGINEUR
base12;Ce que vos clients apprécient le plus dans votre façon de travailler :;Votre rigueur, votre précision et la fiabilité de vos analyses.;Votre disponibilité, votre écoute et l'attention que vous leur portez.;Votre honnêteté, votre transparence et le fait que vous tenez vos engagements.;Votre enthousiasme et votre capacité à rendre les échanges vivants.;Votre efficacité et votre capacité à livrer des résultats dans les temps.;Votre recul, votre vision à long terme et la profondeur de vos conseils.
base13;Lors d'une réunion qui s'éternise sans conclusion, vous :;Proposez de noter les options dans un tableau pour clarifier la situation.;Vous assurez que tout le monde a pu s'exprimer avant de conclure.;Exprimez clairement votre opinion sur ce qui devrait être décidé.;Commencez à vous agiter, faites une blague ou relancez la discussion à voix haute.;Tranchez — vous proposez une décision ou proposez une action permettant de faire avancer les choses.;Partez dans vos pensées en attendant que ça se termine.
base14;Face à une nouvelle mission, votre premier réflexe est :;Clarifier les objectifs, vérifier les données et organiser le plan d’action.;Identifier les personnes concernées et comprendre leurs attentes.;Vérifier si la mission est alignée avec vos valeurs ou celles du cabinet.;Voir ce qui peut rendre la mission stimulante et agréable.;Repérer rapidement les enjeux et les opportunités.;Prendre un temps de réflexion avant de vous engager pleinement.
base15;Quand un client vous demande un délai impossible à tenir, vous :;Expliquez clairement pourquoi ce délai n'est pas tenable, chiffres à l'appui.;Cherchez un compromis qui satisfait le client sans mettre l'équipe sous pression.;Maintenez le délai raisonnable — la qualité ne se négocie pas.;Réagissez franchement — vous dites ce que vous pensez sur le moment, sans vous filtrer.;Acceptez le défi et trouvez un moyen d'y arriver coûte que coûte.;Demandez un temps de réflexion avant de vous engager.
base16;Quand un collaborateur fait plusieurs fois la même erreur, vous :;Analysez les causes et proposez une méthode pour que ça ne se reproduise plus.;Mettez-vous à sa place avant tout — il y a sûrement une raison derrière ses erreurs.;Lui signalez clairement que ce n'est pas acceptable au regard des exigences du cabinet.;Trouvez une façon légère d'aborder le sujet, avec humour si possible.;Fixez des objectifs précis et un délai — vous voulez des résultats, pas des excuses.;Ayez du mal à aborder le sujet directement — vous ne savez pas trop comment vous y prendre.
base17;Quand vous devez confier une tâche à un collaborateur, vous :;Rédigez des instructions précises avec les étapes et les critères attendus.;Prenez le temps d'expliquer en vous assurant que la personne se sent capable.;Insistez sur l'importance de la tâche et ce qu'on attend sur le plan de la qualité.;Rendez les explications vivantes — vous mettez de l'énergie pour que la personne ait envie de s'y mettre.;Fixez l'objectif final et laissez la personne se débrouiller.;Déléguez en laissant beaucoup d'autonomie, sans trop superviser.
base18;Quand un projet prend du retard à cause d'imprévus, vous :;Révisez immédiatement le planning et cherchez l'origine du retard.;Vérifiez que l'équipe n'est pas trop sous pression et gérez les tensions.;Vérifiez si les engagements pris envers le client peuvent encore être honorés.;Faites monter l'énergie dans l'équipe pour que tout le monde se retrousse les manches.;Accélérez le rythme et mobilisez tout ce que vous avez pour avancer.;Prenez du recul pour comprendre ce qui s'est passé avant d'agir.
base19;Ce que vous ne supportez vraiment pas dans votre travail, c'est :;L'imprécision, les données fausses ou les dossiers bâclés.;Le manque de considération ou la froideur dans les relations.;Qu'on vous demande d'agir contre vos principes professionnels.;La rigidité qui empêche toute flexibilité ou adaptation.;L'indécision et la lenteur — certains collaborateurs ou clients qui ne décident jamais ou qui n'avancent pas suffisamment vite.;Qu'on sollicite trop souvent — vous avez besoin qu'on vous laisse un peu de tranquilité.
base20;Quand vous évaluez la performance d'un collaborateur, vous :;Vous appuyez sur des données objectives et des critères mesurables.;Faites attention à ce que la personne vive bien cet entretien.;Évaluez avant tout son engagement, sa fiabilité et son sens des responsabilités.;Cherchez à valoriser les initiatives originales et l'énergie qu'il apporte.;Vous concentrez sur les résultats obtenus et les objectifs atteints.;Préparez l'entretien seul, en profondeur, avant de rencontrer la personne.
phase21;En ce moment, ce qui vous motive le plus dans votre travail, c'est :;Qu'on reconnaisse la qualité de vos dossiers et le travail.;Qu'on vous accorde de l'attention et de la chaleur humaine.;Qu'on écoute vos opinions et respecte vos convictions.;Passer des moments légers et agréables avec vos collègues.;Vivre des situations qui vous poussent à vous dépasser.;Avoir des moments calmes pour réfléchir tranquillement.
phase22;Quel style de management vous convient le mieux ?;Un manager compétent, organisé, qui s'appuie sur les faits.;Un manager bienveillant, à l'écoute et attentif aux personnes.;Un manager droit, engagé et fidèle à ses valeurs.;Un manager détendu, qui laisse de la place à la créativité et au plaisir.;Un manager qui fixe des objectifs ambitieux et pousse à aller plus loin.;Un manager qui me laisse de l'espace et ne surveille pas chaque étape.
phase23;La relation qui vous pèse le plus en ce moment, c'est :;Celle où l'autre est flou, peu fiable ou approximatif.;Celle où vous vous sentez ignoré ou pas vraiment considéré.;Celle où vos valeurs ou vos principes sont remis en question.;Celle où l'ambiance est trop rigide et trop sérieuse.;Celle où l'autre freine votre élan ou bloque vos projets.;Celle où l'autre est trop présent ou trop demandeur.
phase24;Ce dont vous avez le plus besoin en ce moment dans votre travail, c'est :;Qu'on reconnaisse la qualité et le sérieux de votre travail.;Qu'on vous apprécie pour ce que vous êtes, pas seulement pour ce que vous faites.;Qu'on respecte vos convictions et ce en quoi vous croyez.;Des échanges légers, des moments de plaisir et un peu de légèreté.;Des défis concrets, de l'adrénaline et des résultats visibles.;Du calme et du temps pour réfléchir sans être sollicité.
phase25;Quand quelqu'un remet en question votre travail, vous :;Expliquez pourquoi vous avez fait comme ça, point par point.;Vous remettez en question et vous demandez si vous avez déçu.;Défendez fermement votre position — vous êtes convaincu d'avoir raison.;Prenez mal la critique et montrez clairement que vous n'êtes pas d'accord.;Retournez la situation — vous trouvez rapidement quelque chose à lui reprocher.;Vous refermez sur vous-même et attendez que ça se règle sans vous.
phase26;Ce qui vous donne le plus d'énergie en ce moment dans votre vie professionnelle :;Produire un travail dont vous êtes fier sur le plan de la précision et de la rigueur.;Les moments où vous vous sentez vraiment en lien avec les autres.;Le sentiment d'agir selon vos valeurs et de contribuer à quelque chose de juste.;Les situations imprévues qui vous sortent de la routine.;Gagner, réussir des défis et avancer vers vos objectifs.;Les moments de calme et de concentration profonde.
phase27;Face à une surcharge de travail, vous allez :;Vérifier et revérifier votre travail et celui des autres, ne plus déléguer.;Faire des maladresses, en faire trop pour les autres et devenir envahissant sans le vouloir.;Ne plus écouter, couper la parole et tenter d'imposer votre point de vue à tout prix.;Rejeter la faute sur les autres — c'est leur problème, pas le vôtre.;Monter les gens les uns contre les autres pour avancer dans votre sens.;Vous renfermer, ne pas arriver à terminer vos tâches et attendre que quelqu'un prenne les décisions à votre place.
phase28;Quand vous n'êtes pas reconnu à votre juste valeur, vous :;Redoublez d'efforts et peaufinez encore plus votre travail.;Vous sentez rejeté.;Devenez méfiant et suspicieux envers ceux qui ne vous reconnaissent pas.;Vous dites que les autres ne méritent pas votre investissement.;Cherchez à vous imposer par d'autres moyens.;Vous refermez sur vous-même et attendez que ça passe.
phase29;Pour vous, une relation idéale avec votre manager ou votre client repose sur :;La reconnaissance de votre travail et de votre sérieux;La chaleur humaine et l'attention portée à votre ressenti;Le partage de valeurs communes et la confiance mutuelle;La spontanéité et le plaisir de partager des moments fun;L'excitation de relever des défis ensemble;Le respect de votre espace personnel et de votre rythme
phase30;Pour moi, ce questionnaire est avant tout :;Un outil utile — je peux mieux comprendre pour m'améliorer.;Une façon de voir comment je peux mieux fonctionner et m'entendre avec les autres.;Une démarche qui fait sens — j'ai besoin que les choses aient du fond et de l'utilité.;Une expérience originale et plutôt amusante.;Une occasion de mieux se vendre et de tirer parti de ses points forts.;Un moment d'introspection - c'est occasion de vraiment réfléchir à qui on est, en profondeur.
